2025-03-14 10:47:31 INFO  LoggingManager:42 - Logging configuration initialized. Log file path: C:\Users\kwazinkosizwane\eclipse-workspace\SourceDemo\logs\Regression_Suite_logs.log
2025-03-14 10:47:42 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (6a90d690f19adc12e426d4f160fd4156)] -> id: finish]
2025-03-14 10:47:42 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (daac9add101a3b362f274659b021216e)] -> id: password]
2025-03-14 10:47:42 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (10926c9ff477271ea7665d120986cad5)] -> id: user-name]
2025-03-14 10:47:42 INFO  LoggingManager:51 - CheckoutOverviewPage::testOrderSummaryDetailsDisplayed PASSED!
2025-03-14 10:47:42 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (daac9add101a3b362f274659b021216e)] -> id: login-button]
2025-03-14 10:47:42 INFO  LoggingManager:51 - CheckoutCompletePageTest::testPageDisplayState PASSED!
2025-03-14 10:47:42 INFO  LoggingManager:51 - WebDriver configured successfully
2025-03-14 10:47:42 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (10926c9ff477271ea7665d120986cad5)] -> id: password]
2025-03-14 10:47:42 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (daac9add101a3b362f274659b021216e)] -> xpath: //select[@class='product_sort_container']]
2025-03-14 10:47:43 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (10926c9ff477271ea7665d120986cad5)] -> id: login-button]
2025-03-14 10:47:43 INFO  LoggingManager:51 - Successfully performed Select sort option on element: [[ChromeDriver: chrome on windows (daac9add101a3b362f274659b021216e)] -> xpath: //select[@class='product_sort_container']]
2025-03-14 10:47:43 INFO  LoggingManager:51 - WebDriver quit successfully
2025-03-14 10:47:43 INFO  LoggingManager:51 - Running tests on browser: chrome
2025-03-14 10:47:43 INFO  LoggingManager:51 - Initializing chrome browser in normal mode
2025-03-14 10:47:43 INFO  LoggingManager:51 - WebDriver quit successfully
2025-03-14 10:47:43 INFO  LoggingManager:51 - Running tests on browser: chrome
2025-03-14 10:47:43 INFO  LoggingManager:51 - Initializing chrome browser in normal mode
2025-03-14 10:47:43 INFO  LoggingManager:51 - TC02 in LoginPageTest::testLoginFunctionality PASSED!
2025-03-14 10:47:43 INFO  LoggingManager:51 - Navigated to URL:https://www.saucedemo.com
2025-03-14 10:47:43 INFO  LoggingManager:51 - PRICE_LOW_HIGH sorting in LandingPageTests::testSortingFunctionality PASSED!
2025-03-14 10:47:43 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (fc80e58da313d0b196c89d4d648ba35e)] -> id: user-name]
2025-03-14 10:47:44 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (fc80e58da313d0b196c89d4d648ba35e)] -> id: password]
2025-03-14 10:47:44 INFO  LoggingManager:51 - WebDriver quit successfully
2025-03-14 10:47:44 INFO  LoggingManager:51 - WebDriver quit successfully
2025-03-14 10:47:44 INFO  LoggingManager:51 - Running tests on browser: chrome
